,loss
0,0.06856568681621895
1,0.03168493438578701
2,0.0275694874475263
3,0.0064571050855304225
4,0.0039976241891406875
5,0.003576224652359818
6,0.003407211207075011
7,0.003325076709069732
8,0.0032411152032553697
9,0.00309487874363453
10,0.0029969991362836863
11,0.002818422640534182
12,0.0027617390653146673
13,0.0025567131280640277
14,0.002330567849802553
15,0.0022493256145493835
16,0.0021738685964397893
17,0.0019684197862172674
18,0.001843119143095877
19,0.0017011255851179423
20,0.0015819486667129226
21,0.0014737537028229547
22,0.0014005812114627296
23,0.0012701206180514278
24,0.0011921757673639727
25,0.0011608067136437234
26,0.001047799789520977
27,0.0009895606316175144
28,0.000978607398780009
29,0.0009135184988111739
30,0.0008857582827570094
31,0.000872828059543457
32,0.0008389528453583218
33,0.0008124877032413925
34,0.0007631304694507451
35,0.0007593195612876685
36,0.0007480093171663756
37,0.0007346725379414037
38,0.0007393637195996878
39,0.0006887299665044916
40,0.0006789430674307044
41,0.0006395602851633388
42,0.0006280566289946642
43,0.0006184071956789748
44,0.0005732283830941184
45,0.000603130605280594
46,0.000606806858947457
47,0.000562883238484276
48,0.0005184646834045433
49,0.0005318419671149225
50,0.0005175941717424053
51,0.0004836879120569579
52,0.00046680447275742655
53,0.00047281747109012003
54,0.00042704006389105
55,0.00042126887667529603
56,0.0004226734624817542
57,0.00040496911569639396
58,0.00038852085232250446
59,0.0003801651531670299
60,0.0003513655113824931
61,0.00035813198746899414
62,0.0003602586690534388
63,0.00031198111967730655
64,0.0003221653825158261
65,0.00031040554200129344
66,0.00030552400625951363
67,0.0002878783284327812
68,0.000278486188471015
69,0.00026870469142044887
70,0.0002681944837782178
71,0.0002655954552521965
72,0.00026526798045312653
73,0.0002591111808747855
74,0.00024159676346516664
75,0.0002287219141322051
76,0.00021240889643859553
77,0.00021255770411354873
78,0.00020911993010580012
79,0.0002075606405065988
80,0.0002201987690906562
81,0.00020598836495439192
82,0.00020257897173506727
83,0.00019721829463838903
84,0.00019634630980000202
85,0.0001996528008721988
86,0.00018026172886229474
87,0.00017438436792061718
88,0.0001806195602275718
89,0.00016574520960644252
90,0.0001665693240181288
91,0.00017578247013825927
92,0.0001571567585918235
93,0.0001501831638948938
94,0.00013877420348388768
95,0.00013535752215700038
96,0.00015860573722749688
97,0.00015007488692681814
98,0.00013738745992681066
99,0.00012833384333077198
100,0.0001409850005728021
101,0.00013564473390835434
102,0.00012544690127877782
103,0.0001237352331507787
104,0.0001339899446132133
105,0.00012876837463859543
106,0.000119236413039718
107,0.00012882567151375
108,0.00015504654107829607
109,0.00010873332036069199
110,0.00010712579941926934
111,0.00011427039985711196
112,0.00010452260661350135
113,0.0001043481655297013
114,0.00011408607915379786
115,0.0001068971146402837
116,0.00010550050138181365
117,9.774319239314952e-05
118,9.333112170323128e-05
119,0.00013244733935528842
120,0.00010616496431455049
121,0.00010355407252979492
122,0.0001131137589700014
123,9.70359043698749e-05
124,9.93770288819597e-05
125,9.417178016131938e-05
126,8.931322710795464e-05
